network,sd_method,method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
Social,BC,BLOCD,1.0,0.934239258159957,0.18330280925282635,0.5110998284764343,0.2698320233192869,63,59360,73,4152
Social,BC,BLOCD,0.55,0.9331680313171508,0.286657425650921,0.469639867270059,0.35601279178118495,81,59274,159,4134
Social,BC,GN,,0.9770309934419343,0.3059963658388855,0.15240137770835835,0.20346639303555264,54,34221,580,239
Social,BC,GN,1.0,0.9905687753127165,0.30284675953967294,0.32217274878565194,0.3122109684004896,52,34707,94,241
Social,BC,GN,0.95,0.9903155367441284,0.3044215626892792,0.304900153609831,0.30466067019525844,53,34697,104,240
Social,BC,SRC,,0.4794101188104403,0.10539067231980619,0.0024604700114242216,0.004808675793721871,54,20148,21600,366
Social,BC,SRC,1.0,0.9579499025955349,0.10539067231980619,0.03624225604203069,0.053936549569857876,54,40338,1410,366
Social,BC,SRC,0.95,0.9568068981576352,0.10670300827781143,0.035848869406605345,0.0536672300804263,55,40289,1459,365
Social,BC,WP,,0.8069110759543242,0.24303452453058755,0.008878970258260344,0.017132042226211532,27,22527,5186,139
Social,BC,WP,1.0,0.9850719436232951,0.24303452453058755,0.0824504442418328,0.1231289087740354,27,27436,277,139
Social,BC,WP,0.8,0.9847871076248059,0.28740157480314965,0.09154495620340022,0.1388595087980253,32,27423,290,134
Social,BC,CNM,,0.9914908257432007,0.3333333333333333,0.08582621082621082,0.13650523930897762,13,20615,151,26
Social,BC,CNM,1.0,0.9943774360503846,0.3333333333333333,0.12795043273013373,0.18491933764480134,13,20675,91,26
Social,BC,CNM,0.7,0.9943364756818868,0.48717948717948717,0.16498453340558603,0.24649345207658654,19,20668,98,20
Social,BC,LP,,0.9913376342601082,0.07692307692307693,0.020663780663780662,0.03257655034350971,3,20622,144,36
Social,BC,LP,1.0,0.9960121387299771,0.07692307692307693,0.060599415204678354,0.06779245205871529,3,20719,47,36
Social,BC,LP,0.85,0.9960121387299771,0.07692307692307693,0.060599415204678354,0.06779245205871529,3,20719,47,36
Karate club,BC,LN,,0.8856008184914423,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,142,10,10
Karate club,BC,LN,1.0,0.8890108781674867,0.6666666666666666,0.7037037037037037,0.6846846846846847,17,142,10,10
Karate club,BC,LN,0.65,0.8807804254925896,0.7222222222222222,0.6944444444444444,0.7080610021786493,18,139,13,9
Karate club,BC,GN,,0.8996792243827135,0.6666666666666666,0.7592592592592592,0.7099567099567099,17,145,7,10
Karate club,BC,GN,1.0,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751,16,147,5,11
Karate club,BC,GN,0.55,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751,16,147,5,11
Karate club,BC,LV,,0.8894147010238603,0.7222222222222222,0.6666666666666666,0.6933333333333334,18,142,10,9
Karate club,BC,LV,1.0,0.8938417960418827,0.7222222222222222,0.7203703703703703,0.7212951076879189,18,142,10,9
Karate club,BC,LV,0.8,0.8938417960418827,0.7222222222222222,0.7203703703703703,0.7212951076879189,18,142,10,9
Karate club,BC,CNM,,0.8928524577408081,0.6388888888888888,0.7037037037037037,0.6697318007662835,16,144,8,11
Karate club,BC,CNM,1.0,0.8880215398664122,0.6296296296296297,0.7388888888888889,0.6798977597353781,16,143,9,11
Karate club,BC,CNM,0.55,0.8790476986136639,0.6666666666666666,0.7203703703703704,0.6924788607031598,17,140,12,10
Karate club,BC,LP,,0.8844364205037841,0.5925925925925926,0.7592592592592592,0.6656519533231862,14,147,5,13
Karate club,BC,LP,1.0,0.9017785449786166,0.5925925925925926,0.8518518518518519,0.6989553656220322,14,150,2,13
