method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
surprise_communities,0.8,0.7307654991782175,0.5666666666666667,0.08020687149616422,0.14052378968407345,87,2631,919,84
walktrap,0.8,0.8585607536996892,0.3777777777777778,0.050080458348642845,0.08843716290857008,20,3164,386,151
df_node_similarity,0.8,0.9564032572853143,0.5788888888888888,0.7797619047619047,0.6644761181533188,17,3530,20,154
leiden,0.85,0.9564908189181476,0.7288888888888888,0.5117715617715617,0.6013323062341994,58,3495,55,113
eigenvector,0.85,0.9533091202646641,0.6066666666666667,0.4742387242387242,0.5323404406322209,39,3500,50,132
louvain,0.85,0.9532951034738066,0.7022222222222223,0.4419653059358942,0.5424947425865305,55,3485,65,116
greedy_modularity,0.85,0.9490641496115971,0.6155555555555554,0.37286972286972286,0.4644195862262528,40,3483,67,131
label_propagation,0.85,0.9613545676503623,0.40222222222222226,0.9629629629629629,0.5674323265207692,16,3549,1,155
infomap,0.85,0.961054267350062,0.40222222222222226,0.9259259259259258,0.5608229534609902,16,3548,2,155
surprise_communities,0.85,0.7359538004951677,0.5644444444444444,0.08111072079763862,0.14183914312557055,86,2651,899,85
walktrap,0.85,0.8682392552370427,0.35111111111111115,0.04910342958462051,0.08615758783202146,17,3202,348,154
df_node_similarity,0.85,0.9577640852231567,0.5655555555555556,0.8055555555555556,0.6645506933189267,16,3536,14,155
leiden,0.9,0.9566423859798938,0.72,0.5212602212602212,0.6047198691766966,54,3499,51,117
eigenvector,0.9,0.9539093024407621,0.6044444444444443,0.4907731157731157,0.5417098740688977,38,3503,47,133
louvain,0.9,0.9549766206490167,0.6777777777777777,0.4556915306915308,0.5449774258843513,53,3493,57,118
greedy_modularity,0.9,0.9507311288108308,0.5711111111111111,0.3887205387205388,0.46258657717597634,38,3491,59,133
label_propagation,0.9,0.9616693300047847,0.40222222222222226,1.0,0.5736925515055468,16,3550,0,155
infomap,0.9,0.9613690297044845,0.40222222222222226,0.9629629629629629,0.5674323265207692,16,3549,1,155
surprise_communities,0.9,0.7613883782518222,0.56,0.09038952039292823,0.15565481863686617,84,2749,801,87
walktrap,0.9,0.8792000574759771,0.35111111111111115,0.0551997976620037,0.09540114169583956,17,3243,307,154
df_node_similarity,0.9,0.9583147943386643,0.56,0.8287037037037037,0.6683557807707695,15,3539,11,156
leiden,0.95,0.9575681428687537,0.7155555555555555,0.5362859362859363,0.6130846174641795,52,3504,46,119
eigenvector,0.95,0.9559168292297474,0.6022222222222221,0.5341189674523008,0.5661298110689703,37,3511,39,134
louvain,0.95,0.9547570087950673,0.6511111111111111,0.4526094276094276,0.5340102262693437,50,3495,55,121
greedy_modularity,0.95,0.9532650195502325,0.5133333333333332,0.41405723905723907,0.4583815903328674,36,3502,48,135
label_propagation,0.95,0.9611782017883022,0.3977777777777778,1.0,0.5691573926868044,14,3550,0,157
infomap,0.95,0.9608779014880019,0.3977777777777778,0.9629629629629629,0.5629952216778564,14,3549,1,157
surprise_communities,0.95,0.7628800986183214,0.5466666666666666,0.08551128345903021,0.14788927162562976,78,2759,791,93
walktrap,0.95,0.8871775267414315,0.2911111111111111,0.049413388597449315,0.08448605883382763,14,3275,275,157
df_node_similarity,0.95,0.958385891975738,0.5288888888888889,0.8287037037037037,0.6456902953970202,13,3541,9,158
leiden,1,0.9580169947957907,0.7088888888888889,0.5438832772166106,0.6155194416074888,49,3508,42,122
eigenvector,1,0.9559879268668209,0.6,0.5337822671156004,0.5649574341714512,36,3512,38,135
louvain,1,0.9548655432179073,0.62,0.4627212293878961,0.5299372625817709,45,3500,50,126
greedy_modularity,1,0.9535981775529502,0.4844444444444444,0.4272486772486772,0.45405245068642425,32,3507,43,139
label_propagation,1,0.959788803405871,0.24000000000000002,1.0,0.38709677419354843,9,3550,0,162
infomap,1,0.9594885031055708,0.24000000000000002,0.9444444444444444,0.3827392120075047,9,3549,1,162
surprise_communities,1,0.7646731928860224,0.4977777777777778,0.08298921557797177,0.14226079574952402,74,2770,780,97
walktrap,1,0.8932076642352416,0.2466666666666667,0.04754666489249032,0.07972566897628464,12,3299,251,159
df_node_similarity,1,0.9578545865644094,0.47444444444444445,0.8240740740740741,0.6021898966850479,9,3543,7,162
