type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
unbiased-cm:betweenness:markov_clustering,4,0.0,5,42,0,7,61,0.4166666666666667,0.8571428571428571,1.0,0.7704918032786885,0.5882352941176471
unbiased-cm:betweenness:paris,4,0.0,4,41,3,8,61,0.3333333333333333,0.8367346938775511,0.5714285714285714,0.7377049180327869,0.4210526315789474
unbiased-cm:betweenness:surprise_communities,4,2.0,6,43,13,6,61,0.5,0.8775510204081632,0.3157894736842105,0.8032786885245902,0.3870967741935484
unbiased-cm:betweenness:walktrap,4,1.0,7,44,2,5,61,0.5833333333333334,0.8979591836734694,0.7777777777777778,0.8360655737704918,0.6666666666666666
unbiased-cm:betweenness:spectral,4,0.0,6,43,0,6,61,0.5,0.8775510204081632,1.0,0.8032786885245902,0.6666666666666666
rumor:louvain,4,0.0,7,44,2,5,61,0.5833333333333334,0.8979591836734694,0.7777777777777778,0.8360655737704918,0.6666666666666666
rumor:leiden,4,0.0,8,45,1,4,61,0.6666666666666666,0.9183673469387755,0.8888888888888888,0.8688524590163934,0.761904761904762
rumor:label_propagation,4,0.0,3,40,1,9,61,0.25,0.8163265306122449,0.75,0.7049180327868853,0.375
rumor:greedy_modularity,4,0.0,8,45,1,4,61,0.6666666666666666,0.9183673469387755,0.8888888888888888,0.8688524590163934,0.761904761904762
rumor:eigenvector,4,0.0,6,43,2,6,61,0.5,0.8775510204081632,0.75,0.8032786885245902,0.6
rumor:infomap,4,0.0,5,42,1,7,61,0.4166666666666667,0.8571428571428571,0.8333333333333334,0.7704918032786885,0.5555555555555556
rumor:markov_clustering,4,0.0,2,39,3,10,61,0.16666666666666666,0.7959183673469388,0.4,0.6721311475409836,0.23529411764705882
rumor:paris,4,0.0,3,40,4,9,61,0.25,0.8163265306122449,0.42857142857142855,0.7049180327868853,0.3157894736842105
rumor:surprise_communities,4,3.0,4,41,15,8,61,0.3333333333333333,0.8367346938775511,0.21052631578947367,0.7377049180327869,0.2580645161290323
rumor:walktrap,4,1.0,7,44,2,5,61,0.5833333333333334,0.8979591836734694,0.7777777777777778,0.8360655737704918,0.6666666666666666
