type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
rumor:leiden,50,0.0,25,1033,6,125,1308,0.16666666666666666,0.8920552677029361,0.8064516129032258,0.808868501529052,0.27624309392265195
rumor:label_propagation,50,0.0,3,1011,0,147,1308,0.02,0.8730569948186528,1.0,0.7752293577981652,0.0392156862745098
rumor:greedy_modularity,50,0.0,12,1020,14,138,1308,0.08,0.8808290155440415,0.46153846153846156,0.7889908256880734,0.13636363636363638
rumor:eigenvector,50,0.0,20,1028,13,130,1308,0.13333333333333333,0.8877374784110535,0.6060606060606061,0.8012232415902141,0.21857923497267762
rumor:infomap,50,0.0,3,1011,0,147,1308,0.02,0.8730569948186528,1.0,0.7752293577981652,0.0392156862745098
rumor:paris,50,0.0,5,1013,52,145,1308,0.03333333333333333,0.8747841105354058,0.08771929824561403,0.7782874617737003,0.04830917874396135
rumor:surprise_communities,50,32.666666666666664,58,1066,190,92,1308,0.38666666666666666,0.9205526770293609,0.23387096774193547,0.8593272171253823,0.2914572864321608
rumor:walktrap,50,0.0,6,1014,84,144,1308,0.04,0.8756476683937824,0.06666666666666667,0.7798165137614679,0.05
jordan:louvain,50,0.0,11,1019,7,139,1308,0.07333333333333333,0.8799654576856649,0.6111111111111112,0.7874617737003058,0.13095238095238096
jordan:leiden,50,0.0,14,1022,1,136,1308,0.09333333333333334,0.8825561312607945,0.9333333333333333,0.7920489296636085,0.1696969696969697
jordan:label_propagation,50,0.0,3,1011,0,147,1308,0.02,0.8730569948186528,1.0,0.7752293577981652,0.0392156862745098
jordan:greedy_modularity,50,0.0,15,1023,4,135,1308,0.1,0.883419689119171,0.7894736842105263,0.7935779816513762,0.1775147928994083
jordan:eigenvector,50,0.0,18,1026,4,132,1308,0.12,0.8860103626943006,0.8181818181818182,0.7981651376146789,0.20930232558139536
jordan:infomap,50,0.0,3,1011,0,147,1308,0.02,0.8730569948186528,1.0,0.7752293577981652,0.0392156862745098
jordan:markov_clustering,50,146.33333333333334,87,1095,27,63,1308,0.58,0.9455958549222798,0.7631578947368421,0.9036697247706422,0.6590909090909091
jordan:paris,50,0.0,27,1035,4,123,1308,0.18,0.8937823834196891,0.8709677419354839,0.8119266055045872,0.29834254143646405
jordan:surprise_communities,50,38.333333333333336,48,1056,142,102,1308,0.32,0.9119170984455959,0.25263157894736843,0.8440366972477065,0.2823529411764706
jordan:walktrap,50,0.0,28,1036,53,122,1308,0.18666666666666668,0.8946459412780656,0.345679012345679,0.8134556574923547,0.24242424242424243
netsleuth:louvain,50,0.0,5,1013,24,145,1308,0.03333333333333333,0.8747841105354058,0.1724137931034483,0.7782874617737003,0.055865921787709494
netsleuth:leiden,50,0.0,4,1012,24,146,1308,0.02666666666666667,0.8739205526770294,0.14285714285714285,0.7767584097859327,0.0449438202247191
netsleuth:label_propagation,50,0.0,1,1009,2,149,1308,0.006666666666666667,0.8713298791018999,0.3333333333333333,0.77217125382263,0.013071895424836602
netsleuth:greedy_modularity,50,0.0,2,1010,24,148,1308,0.013333333333333334,0.8721934369602763,0.07692307692307693,0.7737003058103975,0.02272727272727273
netsleuth:eigenvector,50,0.0,4,1012,29,146,1308,0.02666666666666667,0.8739205526770294,0.12121212121212122,0.7767584097859327,0.04371584699453552
netsleuth:infomap,50,0.0,1,1009,2,149,1308,0.006666666666666667,0.8713298791018999,0.3333333333333333,0.77217125382263,0.013071895424836602
netsleuth:paris,50,0.0,10,1018,47,140,1308,0.06666666666666667,0.8791018998272885,0.17543859649122806,0.7859327217125383,0.0966183574879227
netsleuth:surprise_communities,50,43.333333333333336,23,1031,227,127,1308,0.15333333333333332,0.8903281519861831,0.092,0.8058103975535168,0.11499999999999999
netsleuth:walktrap,50,0.0,3,1011,87,147,1308,0.02,0.8730569948186528,0.03333333333333333,0.7752293577981652,0.025
